127.0.0.1 - - [06/Mar/2024:05:24:53 +0000] "GET /resources/font/NotoSansKR-Medium.otf HTTP/1.1" 200 2230776
127.0.0.1 - - [06/Mar/2024:05:25:17 +0000] "GET /sds-builder/upload/chatbotBuilder HTTP/1.1" 404 1023
127.0.0.1 - - [06/Mar/2024:05:25:18 +0000] "GET /resources/css/error.css HTTP/1.1" 200 2299
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /sds-builder/upload/chatbotBuilder?lang=ko HTTP/1.1" 302 -
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /login HTTP/1.1" 200 22105
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/css/sublanding.css HTTP/1.1" 200 21250
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/css/font.css HTTP/1.1" 200 5197
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/images/intro/logo_AICC_bk.svg HTTP/1.1" 200 817
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/js/jquery-1.11.2.min.js HTTP/1.1" 200 95934
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/css/reset.css HTTP/1.1" 200 2676
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/css/all.css HTTP/1.1" 200 74474
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/images/ico_pageldg_trans.png HTTP/1.1" 200 18593
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/images/img_fast_woman.svg HTTP/1.1" 200 30482
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/images/img_fast_mobile.svg HTTP/1.1" 200 27466
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/images/img_fast_aibot.svg HTTP/1.1" 200 17187
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75760
10.50.2.45 - - [06/Mar/2024:05:26:51 +0000] "GET /resources/font/NotoSansKR-DemiLight.otf HTTP/1.1" 200 376416
10.50.2.45 - - [06/Mar/2024:05:26:52 +0000] "GET /resources/font/NotoSansKR-Regular.otf HTTP/1.1" 200 2227668
10.50.2.45 - - [06/Mar/2024:05:26:52 +0000] "GET /resources/font/NotoSansKR-Bold.otf HTTP/1.1" 200 2334228
10.50.2.45 - - [06/Mar/2024:05:26:52 +0000] "GET /resources/font/NotoSansKR-Medium.otf HTTP/1.1" 200 2230776
10.50.2.45 - - [06/Mar/2024:05:26:56 +0000] "GET /sds-builder/upload/chatbotBuilder?lang=ko HTTP/1.1" 302 -
10.50.2.45 - - [06/Mar/2024:05:26:56 +0000] "GET /login HTTP/1.1" 200 22105
10.50.2.45 - - [06/Mar/2024:05:27:11 +0000] "GET /sds-builder/upload/chatbotBuilder?lang=ko HTTP/1.1" 404 1023
10.50.2.45 - - [06/Mar/2024:05:27:11 +0000] "GET /resources/css/error.css HTTP/1.1" 200 2299
10.50.2.45 - - [06/Mar/2024:05:27:11 +0000] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [06/Mar/2024:05:27:21 +0000] "GET /resources/js/swiper.min.js.map HTTP/1.1" 404 1023
